1749.042   96.7
1749.123  104.3
1749.204  116.7
1749.288   92.8
1749.371  141.7
1749.455  139.2
1749.538  158.0
1749.623  110.5
1749.707  126.5
1749.790  125.8
1749.874  264.3
1749.958  142.0
1750.042  122.2
1750.123  126.5
1750.204  148.7
1750.288  147.2
1750.371  150.0
1750.455  166.7
1750.538  142.3
1750.623  171.7
1750.707  152.0
1750.790  109.5
1750.874  105.5
1750.958  125.7
1751.042  116.7
1751.123   72.5
1751.204   75.5
1751.288   94.0
1751.371  101.2
1751.455   84.5
1751.538  110.5
1751.623   99.7
1751.707   39.2
1751.790   38.7
1751.874   47.5
1751.958   73.3
1752.042   58.3
1752.124   83.3
1752.206  118.3
1752.290   98.8
1752.373   99.5
1752.456   66.0
1752.540  130.7
1752.624   48.8
1752.708   45.2
1752.791   77.7
1752.874   62.7
1752.958   66.7
1753.042   73.3
1753.123   53.3
1753.204   76.2
1753.288   63.3
1753.371   60.0
1753.455   52.8
1753.538   36.7
1753.623   65.0
1753.707   46.7
1753.790   41.7
1753.874   33.3
1753.958   11.2
1754.042    0.0
1754.123    5.0
1754.204    2.8
1754.288   22.8
1754.371   34.5
1754.455   44.5
1754.538   31.3
1754.623   20.5
1754.707   13.7
1754.790   40.2
1754.874   22.0
1754.958    7.0
1755.042   17.0
1755.123   18.7
1755.204   11.3
1755.288   10.8
1755.371    0.0
1755.455    0.0
1755.538   14.3
1755.623    5.3
1755.707   29.7
1755.790   39.5
1755.874   11.3
1755.958   33.3
1756.042   20.8
1756.124   11.8
1756.206    9.0
1756.290   15.7
1756.373   20.8
1756.456   21.5
1756.540    6.0
1756.624   10.7
1756.708   19.7
1756.791   23.8
1756.874   28.3
1756.958   15.7
1757.042   23.5
1757.123   35.3
1757.204   43.7
1757.288   50.0
1757.371   63.5
1757.455   21.3
1757.538   41.7
1757.623   85.5
1757.707   66.2
1757.790   54.2
1757.874  107.8
1757.958   55.8
1758.042   62.7
1758.123   86.7
1758.204   81.7
1758.288  120.5
1758.371   77.3
1758.455   75.0
1758.538   73.3
1758.623   64.5
1758.707  104.2
1758.790   62.8
1758.874   71.7
1758.958   71.7
1759.042   80.5
1759.123   73.3
1759.204   78.0
1759.288   78.3
1759.371   81.7
1759.455   83.3
1759.538   85.0
1759.623  118.8
1759.707  128.7
1759.790   99.5
1759.874   77.2
1759.958   95.0
1760.042  112.2
1760.124   99.2
1760.206  124.5
1760.290   97.2
1760.373  120.0
1760.456   80.5
1760.540  110.0
1760.624  126.0
1760.708  102.2
1760.791   84.3
1760.874   99.5
1760.958  101.7
1761.042  116.7
1761.123  151.7
1761.204  134.5
1761.288  119.5
1761.371  178.7
1761.455  165.5
